file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)
L2A34F_adTr_R2.fastq.gz	FASTQ	DNA	38880996	5516801599	75	141.9	151	140.0	151.0	151.0	0	151	96.92	91.82
L2A34M_adTr_R1.fastq.gz	FASTQ	DNA	48676679	6744545061	75	138.6	151	128.0	151.0	151.0	0	151	98.30	94.94
L2A34M_adTr_R2.fastq.gz	FASTQ	DNA	48676679	6749177530	75	138.7	151	129.0	151.0	151.0	0	151	97.46	93.28
L2A56F_adTr_R1.fastq.gz	FASTQ	DNA	32353116	4489140400	75	138.8	151	129.0	151.0	151.0	0	151	98.32	94.99
L2A56F_adTr_R2.fastq.gz	FASTQ	DNA	32353116	4490869637	75	138.8	151	129.0	151.0	151.0	0	151	97.72	93.95
L2A56M_adTr_R1.fastq.gz	FASTQ	DNA	20676396	2852336082	75	138.0	151	127.0	151.0	151.0	0	151	98.26	94.71
L2A56M_adTr_R2.fastq.gz	FASTQ	DNA	20676396	2854635021	75	138.1	151	127.0	151.0	151.0	0	151	97.03	92.59
L2B109F_adTr_R1.fastq.gz	FASTQ	DNA	83907835	11792523243	75	140.5	151	135.0	151.0	151.0	0	151	98.27	94.84
L2B109F_adTr_R2.fastq.gz	FASTQ	DNA	83907835	11796470015	75	140.6	151	135.0	151.0	151.0	0	151	97.40	93.13
L2B109M_adTr_R1.fastq.gz	FASTQ	DNA	77952906	11015222071	75	141.3	151	138.0	151.0	151.0	0	151	98.37	95.06
L2B109M_adTr_R2.fastq.gz	FASTQ	DNA	77952906	11019167962	75	141.4	151	138.0	151.0	151.0	0	151	97.64	93.47
L2B12F_adTr_R1.fastq.gz	FASTQ	DNA	49786632	7127600578	75	143.2	151	146.0	151.0	151.0	0	151	98.31	94.91
L2B12F_adTr_R2.fastq.gz	FASTQ	DNA	49786632	7128467298	75	143.2	151	146.0	151.0	151.0	0	151	97.39	92.82
L2B12M_adTr_R1.fastq.gz	FASTQ	DNA	68298938	9674871453	75	141.7	151	139.0	151.0	151.0	0	151	98.30	94.90
L2B12M_adTr_R2.fastq.gz	FASTQ	DNA	68298938	9676816456	75	141.7	151	139.0	151.0	151.0	0	151	97.58	93.37
L2B34F_adTr_R1.fastq.gz	FASTQ	DNA	66784023	9547213717	75	143.0	151	145.0	151.0	151.0	0	151	98.27	94.85
L2B34F_adTr_R2.fastq.gz	FASTQ	DNA	66784023	9547782578	75	143.0	151	145.0	151.0	151.0	0	151	97.69	93.64
L2B34M_adTr_R1.fastq.gz	FASTQ	DNA	93058666	13036139030	75	140.1	151	133.0	151.0	151.0	0	151	98.40	95.15
L2B34M_adTr_R2.fastq.gz	FASTQ	DNA	93058666	13041404116	75	140.1	151	133.0	151.0	151.0	0	151	97.67	93.53
L3A23F_adTr_R1.fastq.gz	FASTQ	DNA	19917186	2837490280	75	142.5	151	142.0	151.0	151.0	0	151	98.33	94.95
L3A23F_adTr_R2.fastq.gz	FASTQ	DNA	19917186	2837721164	75	142.5	151	142.0	151.0	151.0	0	151	97.59	93.29
L3A23M_adTr_R1.fastq.gz	FASTQ	DNA	87829589	12452271807	75	141.8	151	140.0	151.0	151.0	0	151	98.40	95.12
L3A23M_adTr_R2.fastq.gz	FASTQ	DNA	87829589	12456226943	75	141.8	151	140.0	151.0	151.0	0	151	97.36	92.84
L3A56F_adTr_R1.fastq.gz	FASTQ	DNA	81369182	11282003530	75	138.7	151	129.0	151.0	151.0	0	151	98.31	94.96
L3A56F_adTr_R2.fastq.gz	FASTQ	DNA	81369182	11284803135	75	138.7	151	129.0	151.0	151.0	0	151	97.70	93.59
L3A56M_adTr_R1.fastq.gz	FASTQ	DNA	75394453	10428683055	75	138.3	151	128.0	151.0	151.0	0	151	98.28	94.84
L3A56M_adTr_R2.fastq.gz	FASTQ	DNA	75394453	10431635621	75	138.4	151	128.0	151.0	151.0	0	151	97.53	93.35
L3A78F_adTr_R1.fastq.gz	FASTQ	DNA	94611783	13106539676	75	138.5	151	128.0	151.0	151.0	0	151	98.34	95.00
L3A78F_adTr_R2.fastq.gz	FASTQ	DNA	94611783	13114057574	75	138.6	151	128.0	151.0	151.0	0	151	97.11	92.35
L3A78M_adTr_R1.fastq.gz	FASTQ	DNA	83881854	11611297604	75	138.4	151	128.0	151.0	151.0	0	151	98.37	95.08
L3A78M_adTr_R2.fastq.gz	FASTQ	DNA	83881854	11616990550	75	138.5	151	128.0	151.0	151.0	0	151	96.99	91.99
L3B24F_adTr_R1.fastq.gz	FASTQ	DNA	73095742	10102257828	75	138.2	151	127.0	151.0	151.0	0	151	98.29	94.95
L3B24F_adTr_R2.fastq.gz	FASTQ	DNA	73095742	10106139229	75	138.3	151	127.0	151.0	151.0	0	151	97.39	93.13
L3B24M_adTr_R1.fastq.gz	FASTQ	DNA	31518634	4328895823	75	137.3	151	125.0	151.0	151.0	0	151	98.33	95.02
L3B24M_adTr_R2.fastq.gz	FASTQ	DNA	31518634	4329388880	75	137.4	151	125.0	151.0	151.0	0	151	97.84	93.90
L3B78F_adTr_R1.fastq.gz	FASTQ	DNA	45062155	6206908157	75	137.7	151	126.0	151.0	151.0	0	151	98.30	94.93
L3B78F_adTr_R2.fastq.gz	FASTQ	DNA	45062155	6208198084	75	137.8	151	126.0	151.0	151.0	0	151	98.00	94.32
L3B78M_adTr_R1.fastq.gz	FASTQ	DNA	83517709	11908989952	75	142.6	151	145.0	151.0	151.0	0	151	98.31	94.83
L3B78M_adTr_R2.fastq.gz	FASTQ	DNA	83517709	11912117083	75	142.6	151	145.0	151.0	151.0	0	151	96.67	91.26
L3B910F_adTr_R1.fastq.gz	FASTQ	DNA	93108042	12966239834	75	139.3	151	131.0	151.0	151.0	0	151	98.31	94.95
L3B910F_adTr_R2.fastq.gz	FASTQ	DNA	93108042	12972123254	75	139.3	151	131.0	151.0	151.0	0	151	97.66	93.63
L3B910M_adTr_R1.fastq.gz	FASTQ	DNA	71980680	9941182126	75	138.1	151	127.0	151.0	151.0	0	151	98.36	95.07
L3B910M_adTr_R2.fastq.gz	FASTQ	DNA	71980680	9945878628	75	138.2	151	127.0	151.0	151.0	0	151	97.69	93.62
SAA23F_adTr_R1.fastq.gz	FASTQ	DNA	86594105	11971659932	75	138.3	151	127.0	151.0	151.0	0	151	98.33	95.03
SAA23F_adTr_R2.fastq.gz	FASTQ	DNA	86594105	11984359029	75	138.4	151	128.0	151.0	151.0	0	151	96.92	92.78
SAA23M_adTr_R1.fastq.gz	FASTQ	DNA	79308330	11088454094	75	139.8	151	133.0	151.0	151.0	0	151	98.38	95.08
SAA23M_adTr_R2.fastq.gz	FASTQ	DNA	79308330	11094606411	75	139.9	151	133.0	151.0	151.0	0	151	97.14	92.34
SAA45F_adTr_R1.fastq.gz	FASTQ	DNA	98547902	13705666372	75	139.1	151	130.0	151.0	151.0	0	151	98.32	95.00
SAA45F_adTr_R2.fastq.gz	FASTQ	DNA	98547902	13710196906	75	139.1	151	130.0	151.0	151.0	0	151	97.68	93.80
SAA45M_adTr_R1.fastq.gz	FASTQ	DNA	94959656	13135084245	75	138.3	151	128.0	151.0	151.0	0	151	98.31	94.95
SAA45M_adTr_R2.fastq.gz	FASTQ	DNA	94959656	13138622337	75	138.4	151	128.0	151.0	151.0	0	151	97.71	93.59
SAA68F_adTr_R1.fastq.gz	FASTQ	DNA	99277471	13925510697	75	140.3	151	134.0	151.0	151.0	0	151	98.19	94.60
SAA68F_adTr_R2.fastq.gz	FASTQ	DNA	99277471	13929675077	75	140.3	151	134.0	151.0	151.0	0	151	97.16	92.43
SAA68M_adTr_R1.fastq.gz	FASTQ	DNA	70686378	9739473938	75	137.8	151	126.0	151.0	151.0	0	151	98.35	95.09
SAA68M_adTr_R2.fastq.gz	FASTQ	DNA	70686378	9745305772	75	137.9	151	126.0	151.0	151.0	0	151	97.73	93.88
SAB34F_adTr_R1.fastq.gz	FASTQ	DNA	73002879	10117880762	75	138.6	151	129.0	151.0	151.0	0	151	98.20	94.68
SAB34F_adTr_R2.fastq.gz	FASTQ	DNA	73002879	10119446164	75	138.6	151	129.0	151.0	151.0	0	151	97.69	93.65
SAB34M_adTr_R1.fastq.gz	FASTQ	DNA	121776299	16922352568	75	139.0	151	129.0	151.0	151.0	0	151	98.37	95.06
SAB34M_adTr_R2.fastq.gz	FASTQ	DNA	121776299	16929457035	75	139.0	151	130.0	151.0	151.0	0	151	97.35	92.76
SAB57F_adTr_R1.fastq.gz	FASTQ	DNA	22447183	3098707413	75	138.0	151	127.0	151.0	151.0	0	151	98.23	94.80
SAB57F_adTr_R2.fastq.gz	FASTQ	DNA	22447183	3099908289	75	138.1	151	127.0	151.0	151.0	0	151	97.50	93.38
SAB57M_adTr_R1.fastq.gz	FASTQ	DNA	51703875	7220697958	75	139.7	151	132.0	151.0	151.0	0	151	98.33	94.99
SAB57M_adTr_R2.fastq.gz	FASTQ	DNA	51703875	7224303619	75	139.7	151	132.0	151.0	151.0	0	151	97.50	93.30
SAB98F_adTr_R1.fastq.gz	FASTQ	DNA	21713518	3015427329	75	138.9	151	129.0	151.0	151.0	0	151	98.33	94.98
SAB98F_adTr_R2.fastq.gz	FASTQ	DNA	21713518	3016835484	75	138.9	151	129.0	151.0	151.0	0	151	97.09	92.16
SAB98M_adTr_R1.fastq.gz	FASTQ	DNA	101988359	14188584185	75	139.1	151	130.0	151.0	151.0	0	151	98.26	94.89
SAB98M_adTr_R2.fastq.gz	FASTQ	DNA	101988359	14197504992	75	139.2	151	130.0	151.0	151.0	0	151	97.49	93.35
